,PERIOD,PRIMARY_LABEL,VALUE_ETH
85,2021-02-24T00:00:00Z,3. Surplus,-0.0094157870887911
86,2021-02-25T00:00:00Z,3. Surplus,0.0222933342937775
87,2021-02-26T00:00:00Z,3. Surplus,0.0059278552478571
88,2021-02-27T00:00:00Z,3. Surplus,-0.0037014914422307
89,2021-02-28T00:00:00Z,3. Surplus,0.0087824772858553
90,2021-03-01T00:00:00Z,3. Surplus,-0.0250018056674198
91,2021-03-02T00:00:00Z,3. Surplus,0.0122745682989986
92,2021-03-03T00:00:00Z,3. Surplus,-0.0144668381843823
93,2021-03-04T00:00:00Z,3. Surplus,0.006533656455616
94,2021-03-05T00:00:00Z,3. Surplus,0.0008731877030936
95,2021-03-06T00:00:00Z,3. Surplus,-0.0186221830881055
96,2021-03-07T00:00:00Z,3. Surplus,-0.0086021200690561
97,2021-03-08T00:00:00Z,3. Surplus,-0.0117781717988103
98,2021-03-09T00:00:00Z,3. Surplus,-0.0036823525084227
99,2021-03-10T00:00:00Z,3. Surplus,0.0072345775123512
100,2021-03-11T00:00:00Z,3. Surplus,-0.0026028937923116
101,2021-03-12T00:00:00Z,3. Surplus,0.0059863270782899
102,2021-03-13T00:00:00Z,3. Surplus,-0.017062132778909
103,2021-03-14T00:00:00Z,3. Surplus,0.0055805438993537
104,2021-03-15T00:00:00Z,3. Surplus,0.0093925566941786
105,2021-03-16T00:00:00Z,3. Surplus,-0.0009551292444073
106,2021-03-17T00:00:00Z,3. Surplus,-0.0027584770755151
107,2021-03-18T00:00:00Z,3. Surplus,0.0046597805227699
108,2021-03-19T00:00:00Z,3. Surplus,-0.003885158722025
109,2021-03-20T00:00:00Z,3. Surplus,2.7904105266760568e-05
110,2021-03-21T00:00:00Z,3. Surplus,0.0033093837543723
111,2021-03-22T00:00:00Z,3. Surplus,0.0111847108350637
112,2021-03-23T00:00:00Z,3. Surplus,0.002048460373212
113,2021-03-24T00:00:00Z,3. Surplus,0.0114665521786022
114,2021-03-25T00:00:00Z,3. Surplus,0.0004202274080256
115,2021-03-26T00:00:00Z,3. Surplus,-0.0144424990119556
116,2021-03-27T00:00:00Z,3. Surplus,-0.0029677615027849
117,2021-03-28T00:00:00Z,3. Surplus,0.0043970042384551
118,2021-03-29T00:00:00Z,3. Surplus,-0.0155283038400219
119,2021-03-30T00:00:00Z,3. Surplus,-0.0027849407146751
120,2021-03-31T00:00:00Z,3. Surplus,-0.0083654762405094
121,2021-04-01T00:00:00Z,3. Surplus,-0.00501524163504
122,2021-04-02T00:00:00Z,3. Surplus,-0.0138736081965483
123,2021-04-03T00:00:00Z,3. Surplus,0.0095836932409868
124,2021-04-04T00:00:00Z,3. Surplus,-0.0050387144158298
125,2021-04-05T00:00:00Z,3. Surplus,-0.0038784578067114
126,2021-04-06T00:00:00Z,3. Surplus,-0.0006286390009622
127,2021-04-07T00:00:00Z,3. Surplus,0.0135900221871576
128,2021-04-08T00:00:00Z,3. Surplus,-0.0089606916950328
129,2021-04-09T00:00:00Z,3. Surplus,0.0007477944874207
130,2021-04-10T00:00:00Z,3. Surplus,-0.0056212559897834
131,2021-04-11T00:00:00Z,3. Surplus,-0.0007138129020373
132,2021-04-12T00:00:00Z,3. Surplus,0.000158699172861
133,2021-04-13T00:00:00Z,3. Surplus,-0.0115957348892701
134,2021-04-14T00:00:00Z,3. Surplus,-0.008229062488084
135,2021-04-15T00:00:00Z,3. Surplus,-0.0055733069998923
136,2021-04-16T00:00:00Z,3. Surplus,0.0047914083841337
137,2021-04-17T00:00:00Z,3. Surplus,0.0052911935856568
138,2021-04-18T00:00:00Z,3. Surplus,0.0077924600424895
139,2021-04-19T00:00:00Z,3. Surplus,0.004928197571514
140,2021-04-20T00:00:00Z,3. Surplus,-0.0109837200212283
141,2021-04-21T00:00:00Z,3. Surplus,-0.0028647425339194
142,2021-04-22T00:00:00Z,3. Surplus,-30.99010547296508
143,2021-04-23T00:00:00Z,3. Surplus,0.0033905213482844
144,2021-04-24T00:00:00Z,3. Surplus,0.0101849373841299
145,2021-04-25T00:00:00Z,3. Surplus,-0.006282530606474
146,2021-04-26T00:00:00Z,3. Surplus,-0.0139163416104689
147,2021-04-27T00:00:00Z,3. Surplus,-0.0066965316647997
148,2021-04-28T00:00:00Z,3. Surplus,-0.0050369680164105
149,2021-04-29T00:00:00Z,3. Surplus,-0.0005151214910686
150,2021-04-30T00:00:00Z,3. Surplus,-0.0007863004217124527
151,2021-05-01T00:00:00Z,3. Surplus,-0.007957675653167653
152,2021-05-02T00:00:00Z,3. Surplus,149.99997442375226
153,2021-05-03T00:00:00Z,3. Surplus,1408.9826071242717
154,2021-05-04T00:00:00Z,3. Surplus,1471.0062310823503
155,2021-05-05T00:00:00Z,3. Surplus,15134.99103167157
156,2021-05-06T00:00:00Z,3. Surplus,165.00056070471751
157,2021-05-07T00:00:00Z,3. Surplus,1088.0004341380288
158,2021-05-08T00:00:00Z,3. Surplus,85.98887427316917
159,2021-05-09T00:00:00Z,3. Surplus,-0.0005355174089923118
160,2021-05-10T00:00:00Z,3. Surplus,1711.9990955912644
161,2021-05-11T00:00:00Z,3. Surplus,-0.004428731142041905
162,2021-05-12T00:00:00Z,3. Surplus,50.00484563241732
163,2021-05-13T00:00:00Z,3. Surplus,0.005869090054184165
